StationId,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI
AP001,28.5,64.25,2.22,14.38,9.82,11.38,0.54,11.55,31.85,0.1,0.68,0.1,78.0
AP005,41.0,94.0,5.22,31.35,18.33,10.32,0.69,8.97,25.0,3.3,6.73,1.45,105.0
AS001,38.165,68.75,4.585,10.16,19.09,8.82,0.51,13.97,18.38,0.21,,,98.0
BR005,59.4,76.53999999999999,49.03,22.7,10.4,18.4,0.48,5.39,31.605,1.59,3.48,0.0,102.0
BR006,28.6,87.67,7.17,9.0,12.17,13.42,0.62,7.33,3.23,0.56,0.0,0.0,101.0
BR007,89.5,,12.04,25.62,24.39,,1.2,20.66,26.59,0.52,2.92,1.24,241.0
BR008,42.81,115.68,4.75,25.045,32.22,30.28,0.63,5.32,7.48,2.67,0.16,0.76,116.0
BR009,40.63,93.35,37.705,65.95,31.06,14.855,0.68,10.965,14.96,0.42,13.305,1.11,121.0
BR010,57.019999999999996,103.88,129.41000000000003,19.06,149.505,9.0,0.92,,31.96,0.67,0.51,0.0,207.0
CH001,31.65,74.62,4.48,9.78,10.08,30.37,0.56,9.52,11.92,4.21,0.41,0.99,83.0
DL001,74.0,159.0,2.48,43.15,25.35,24.55,0.8,15.55,22.15,0.75,6.65,0.12,191.0
DL002,107.25,302.3,58.6,79.82,111.23,47.08,1.79,14.6,21.18,4.53,18.93,,329.0
DL003,74.5,186.5,5.15,31.83,25.33,31.6,0.83,14.88,22.95,3.08,16.75,,220.0
DL004,66.03,142.99,13.59,19.13,32.735,,1.11,,31.85,,,,150.0
DL005,84.75,186.75,2.35,28.9,18.0,34.95,1.05,13.23,26.5,0.97,106.78,,235.0
DL006,93.77,160.985,14.71,34.09,47.69,,0.85,,30.17,1.1,,,219.0
DL007,88.63499999999999,185.39,17.28,29.08,46.73,,1.08,,26.12,0.0,0.0,0.0,248.0
DL008,83.5,190.0,11.6,29.0,16.92,25.23,0.71,8.28,25.25,3.98,52.22,,244.0
DL009,54.0,155.0,4.61,33.06,25.6,24.9,0.88,15.95,21.915,1.98,12.47,,183.0
DL010,69.25,230.0,7.35,31.89,27.75,30.52,1.08,14.88,24.4,2.43,16.02,,239.0
DL011,,,26.56,45.3,,,,8.66,31.02,3.55,19.42,,
DL012,63.03,158.87,19.35,25.44,45.97,,0.9,,23.175,,,,169.0
DL013,88.38,,8.33,33.19,26.08,36.82,0.56,10.245000000000001,,,,,229.0
DL014,88.5,162.985,27.189999999999998,41.64,32.864999999999995,28.27,1.41,6.49,19.0,,,,217.5
DL015,90.0,218.0,12.95,52.4,44.48,50.55,1.42,12.98,11.0,2.65,25.15,,257.0
DL016,62.75,172.0,9.33,51.42,41.455,35.38,1.2,15.88,19.48,2.23,22.62,,190.0
DL017,66.32,152.09,15.57,16.54,33.7,,0.86,,18.634999999999998,0.0,0.0,0.0,163.0
DL018,67.25,169.0,6.23,47.95,36.18,31.67,0.96,13.45,14.55,2.73,11.68,,185.0
